Callens,Alexander,New York City FC,D,"$650,000","$714,000"
Calvillo,Eric,San Jose Earthquakes,M,"$150,000","$168,000"
Calvo,Francisco,Chicago Fire,D,"$750,000","$822,600"
Camacho,Rudy,Montreal Impact,D,"$750,000","$799,153"
Campbell,George,Atlanta United,D,"$70,000","$70,000"
Canouse,Russell,DC United,M,"$300,000","$300,000"
Carleton,Andrew,Atlanta United,F,"$100,000","$112,400"
Carranza,Julian,Inter Miami,F,"$400,000","$400,000"
Casas,Javier,Chicago Fire,M,"$63,547","$65,447"
Cascante,Julio,Portland Timbers,D,"$200,004","$200,004"
Casseres,Cristian,New York Red Bulls,M,"$195,000","$239,000"
Castellanos,Valentin,New York City FC,M,"$275,000","$299,806"
Castillo,Edgar,Atlanta United,D,"$110,000","$118,375"
Castro,Manuel,Atlanta United,M,"$204,000","$209,667"
Cavallini,Lucas,Vancouver Whitecaps,F,"$1,000,000","$1,262,500"
Cecchini,Emanuel,Seattle Sounders FC,M,"$333,000","$474,000"
Ceren,Darwin,Houston Dynamo,M,"$170,000","$220,000"
Cerrillo,Edwin,FC Dallas,M,"$85,000","$100,000"
Chacon,Thomas,Minnesota United,M-F,"$381,000","$393,000"
Chang,Maikel,Real Salt Lake,M,"$81,375","$81,375"
Chanot,Maxime,New York City FC,D,"$725,000","$725,000"
Chapman,Jay,Inter Miami,M,"$144,000","$156,833"
Chara,Diego,Portland Timbers,M,"$650,000","$668,750"
Chara,Yimmi,Portland Timbers,M,"$1,200,000","$1,392,000"
Che,Justin,FC Dallas,D,"$63,547","$72,756"
Choiniere,Mathieu,Montreal Impact,M,"$95,000","$104,238"
Cifuentes,Jose,LAFC,M,"$367,875","$411,750"
Ciman,Laurent,Toronto FC,D,"$425,000","$460,625"
Clark,Caden,New York Red Bulls,M,"$63,547","$100,747"
Clark,Steve,Portland Timbers,GK,"$250,000","$250,000"
Cleveland,Stefan,Seattle Sounders FC,GK,"$81,375","$81,375"
Cochran,CJ,Nashville SC,GK,"$81,375","$81,375"
Collier,Elliot,Chicago Fire,F,"$81,375","$81,375"
Collin,Aurelien,Philadelphia Union,D,"$200,000","$200,000"
Colman,Josue,Orlando City SC,M,"$700,000","$700,000"
Colyn,Simon,Vancouver Whitecaps,M,"$81,375","$81,375"
Conechny,Tomas,Portland Timbers,M,"$400,000","$400,000"
Conway,Jackson,Atlanta United,F,"$63,547","$63,547"
Cornelius,Derek,Vancouver Whitecaps,D,"$115,500","$127,413"
Corona,Joe,LA Galaxy,M,"$600,000","$628,500"
Corrales,Jorge,Montreal Impact,D,"$81,375","$81,375"
Cowell,Cade,San Jose Earthquakes,F,"$63,547","$73,547"
Creavalle,Warren,Philadelphia Union,M,"$170,000","$183,300"
Crepeau,Maxime,Vancouver Whitecaps,GK,"$225,000","$252,500"
Cropper,Cody,Houston Dynamo,GK,"$81,375","$87,542"
Cruz,Allan,FC Cincinnati,M,"$900,000","$1,014,000"
Cuello,Emil,LA Galaxy,M,"$81,375","$81,375"
Cunha,Antonio Carlos,Orlando City SC,D,"$799,200","$799,200"
Dajome,Cristian,Vancouver Whitecaps,F,"$350,000","$396,667"
Dally,Rashawn,FC Cincinnati,F,"$63,547","$66,956"
Damm,Jurgen,Atlanta United,M,"$1,193,251","$1,485,761"
Danladi,Abu,Nashville SC,F,"$160,000","$217,000"
Davis,Sean,New York Red Bulls,M,"$350,000","$377,500"
De Almeida,Ocimar,Orlando City SC,M,"$650,000","$680,000"
De John,Alex,Orlando City SC,D,"$100,000","$105,500"
De Jong,Siem,FC Cincinnati,M,"$1,157,556","$1,287,556"
De Vries,Jack,Philadelphia Union,M,"$100,000","$115,556"
DeLaGarza,AJ,Inter Miami,D-M,"$287,500","$287,500"
Delem,Jordy,Seattle Sounders FC,M-D,"$160,000","$179,000"
DeLeon,Nick,Toronto FC,D-M,"$225,000","$240,742"
Delgado,"Marco ""Marky""",Toronto FC,M,"$303,600","$384,850"
Deplagne,Mathieu,FC Cincinnati,D,"$240,000","$254,400"
DePuy,Nick,LA Galaxy,D,"$81,375","$81,375"
Dezart,Joseph,Orlando City SC,M,"$63,547","$63,547"
Dhillon,Justin,Seattle Sounders FC,F,"$81,375","$81,375"
Dia,Amadou,Sporting Kansas City,D,"$81,375","$81,375"
Diaz,Luis,Columbus Crew,M,"$324,996","$358,896"
Dibassy,Bakaye,Minnesota United,D,"$480,000","$573,125"
Dick,Eric,Sporting Kansas City,GK,"$81,375","$85,020"
Dieterich,Tanner,Nashville SC,M,"$63,547","$63,547"
Dike,Daryl,Orlando City SC,F,"$85,000","$113,750"
Diop,Clement,Montreal Impact,GK,"$120,000","$148,500"
Dobbelaere,Ethan,Seattle Sounders FC,M,"$63,547","$77,547"
Dominguez,Cecilio,Austin FC,M-F,"$81,375","$287,375"
Dorsey,Griffin,Toronto FC,M,"$100,000","$119,000"
dos Santos,Jonathan,LA Galaxy,M,"$2,000,000","$2,000,000"
Dotson,Hassani,Minnesota United,M-D,"$63,547","$63,547"
Duenas,Erik,LAFC,D,"$63,547","$65,547"
Duke,Bryce,LAFC,M,"$81,375","$81,375"
Duke,Cameron,Sporting Kansas City,M,"$63,547","$66,547"
Dunbar,Cameron,LA Galaxy,F,"$90,000","$106,750"
Duncan,Kyle,New York Red Bulls,D,"$81,375","$81,375"
Dunn,Julian,Toronto FC,D,"$81,375","$81,375"
Duvall,Chris,Portland Timbers,D,"$81,375","$81,375"
Dwyer,Dom,Orlando City SC,F,"$1,452,000","$1,635,333"
Ebobisse,Jeremy,Portland Timbers,F,"$425,000","$516,250"
Edwards,Earl,DC United,GK,"$81,375","$84,708"
Edwards,Bobby,FC Cincinnati,GK,"$81,375","$81,375"
Edwards,Raheem,Minnesota United,D-M,"$81,375","$81,375"
Egbo,Mandelo,New York Red Bulls,D,"$252,000","$286,700"
Ejimadu,Philip,LAFC,GK,"$63,547","$63,547"
El-Mounir,Mohammed,LAFC,D,"$220,000","$242,667"
Elliott,Jack,Philadelphia Union,D,"$300,000","$315,000"
Emmings,Fred,Minnesota United,GK,"$63,547","$69,547"
Endoh,Tsubasa,Toronto FC,M,"$90,000","$95,333"
Escobar,Franco,Atlanta United,D,"$350,004","$350,004"
Esparza-Saldana,Adam,LA Galaxy,M,"$81,375","$87,309"
Espinoza,Cristian,San Jose Earthquakes,F,"$1,150,000","$1,265,000"
Espinoza,Roger,Sporting Kansas City,M,"$800,000","$800,000"
Etienne,Derrick,Columbus Crew,M,"$81,375","$81,375"
Facchineri,Gianfranco,Vancouver Whitecaps,D,"$63,547","$65,547"
Fagundez,Diego,New England Revolution,M,"$195,000","$215,000"
Fanni,Rod,Montreal Impact,D,"$235,000","$258,500"
Farfan,Marco,Portland Timbers,D,"$115,000","$115,000"
Farrell,Andrew,New England Revolution,D,"$237,192","$322,192"
Felipe,Luis,San Jose Earthquakes,M,"$100,000","$100,750"
Feltscher,Rolf,LA Galaxy,D,"$275,000","$299,650"
Ferdinand,Keesean,Montreal Impact,,"$63,547","$73,592"
Ferkranus,Marcus,LA Galaxy,D,"$75,000","$88,625"
Fernandes,Gerso,Sporting Kansas City,F,"$600,000","$600,000"
Fernandez,Omir,New York Red Bulls,M,"$90,000","$105,000"
Ferreira,Jesus,FC Dallas,F,"$450,000","$450,000"
Fierro,Carlos,San Jose Earthquakes,F,"$880,000","$938,800"
Figal,Jorge,Inter Miami,D,"$500,000","$530,000"
Figueroa,Maynor,Houston Dynamo,D,"$81,375","$81,375"
Finlay,Ethan,Minnesota United,M,"$425,004","$425,004"
Firmino,Nicolas,New England Revolution,M,"$81,375","$85,042"
Fisher,Oniel,DC United,D,"$130,000","$138,000"
Flores,Edison,DC United,M-F,"$1,600,000","$1,733,000"
Flores,Andres,Portland Timbers,M,"$81,375","$81,375"
Fontana,Anthony,Philadelphia Union,M,"$81,375","$89,793"
