"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Cruz","Medina","San Jose Earthquakes","Central Midfield","$180,000.00","$198,394.00"
"Adri","Mehmeti","New York Red Bulls","Central Midfield","$113,400.00","$158,980.00"
"Edwyn","Mendoza","San Jose Earthquakes","Defensive Midfield","$120,000.00","$132,440.00"
"Lionel","Messi","Inter Miami","Right Wing","$25,000,000.00","$28,333,333.00"
"Wyatt","Meyer","Sporting Kansas City","Center-back","$113,400.00","$116,550.00"
"Novak","Mićović","LA Galaxy","Goalkeeper","$200,000.00","$200,000.00"
"Matt","Miazga","FC Cincinnati","Center-back","$1,639,000.00","$1,639,000.00"
"Kenyel","Michel","Minnesota United","Left Wing","$113,400.00","$113,400.00"
"Alex","Mighten","San Diego FC","Left Wing","$325,000.00","$332,292.00"
"Djordje","Mihailovic","Toronto FC","Attacking Midfield","$2,279,170.00","$2,828,204.00"
"Enea","Mihaj","Atlanta United","Center-back","$1,215,000.00","$1,557,000.00"
"Jovan","Mijatovic","New York City FC","Center Forward","$700,000.00","$737,500.00"
"Reese","Miller","Houston Dynamo","Left-back","$88,025.00","$92,668.00"
"Nolan","Miller","Orlando City SC","Center-back","$88,025.00","$88,025.00"
"Tyler","Miller","Charlotte FC","Goalkeeper","$226,800.00","$250,925.00"
"Harbor","Miller","LA Galaxy","Right-back","$88,025.00","$88,025.00"
"Eric","Miller","Portland Timbers","Right-back","$113,400.00","$113,400.00"
"Kamal","Miller","Portland Timbers","Center-back","$797,496.00","$822,496.00"
"Peyton","Miller","New England Revolution","Left-back","$113,400.00","$115,400.00"
"Jansen","Miller","Sporting Kansas City","Center-back","$88,025.00","$89,705.00"
"Juan","Mina","New York Red Bulls","Right-back","$175,000.00","$190,432.00"
"Georgi","Minoungou","Colorado Rapids","Right Wing","$113,400.00","$113,400.00"
"Aleksey","Miranchuk","Atlanta United","Attacking Midfield","$3,800,000.00","$5,085,441.00"
"Roald","Mitchell","New York Red Bulls","Center Forward","$125,000.00","$145,408.00"
"Shakur","Mohammed","Nashville SC","Right Wing","$88,025.00","$89,692.00"
"Luca","Moisa","Real Salt Lake","Central Midfield","$113,400.00","$113,400.00"
"Malachi","Molina","Nashville SC","Right-back","$88,025.00","$100,741.00"
"Peter","Molinari","New York City FC","Defensive Midfield","$88,025.00","$92,654.00"
"Zane","Monlouis","Toronto FC","Center-back","$125,000.00","$137,891.00"
"Francesco","Montali","San Jose Earthquakes","Goalkeeper","$113,400.00","$116,578.00"
"Shaq","Moore","FC Dallas","Right-back","$800,000.00","$870,000.00"
"Kaiden","Moore","Philadelphia Union","Center-back","$88,025.00","$88,025.00"
"Felipe","Mora","Portland Timbers","Center Forward","$1,200,000.00","$1,397,750.00"
"Marcelo","Morales","New York Red Bulls","Left-back","$325,000.00","$472,375.00"
"Efraín","Morales","CF Montreal","Center-back","$400,000.00","$451,250.00"
"Santiago","Morales","Inter Miami","Central Midfield","$130,000.00","$138,333.00"
"Maxi","Moralez","New York City FC","Attacking Midfield","$480,000.00","$500,000.00"
"Steven","Moreira","Columbus Crew","Right-back","$840,000.00","$922,000.00"
"Santiago","Moreno","FC Dallas","Right Wing","$803,125.00","$938,387.00"
"Lewis","Morgan","San Diego FC","Left Wing","$1,639,150.00","$1,868,508.00"
"Jordan","Morris","Seattle Sounders FC","Center Forward","$2,362,500.00","$2,372,500.00"
"Ramiro","Moschen Benetti","FC Dallas","Central Midfield","$575,000.00","$575,000.00"
"Rafael","Mosquera","New York Red Bulls","Left Wing","$88,025.00","$99,925.00"
"Juan","Mosquera","Portland Timbers","Right-back","$475,000.00","$541,650.00"
"Cole","Mrowka","Columbus Crew","Central Midfield","$113,400.00","$133,408.00"
"Fabian","Mrozek","FC Cincinnati","Goalkeeper","$113,400.00","$150,900.00"
"Chris","Mueller","Chicago Fire","Right Wing","$150,000.00","$186,600.00"
"Hany","Mukhtar","Nashville SC","Attacking Midfield","$4,000,000.00","$5,411,667.00"
"Daniel","Munie","San Jose Earthquakes","Center-back","$500,000.00","$574,000.00"
"Louis","Munteanu","DC United","Center Forward","$1,190,000.00","$1,634,100.00"
"Facundo","Mura","Inter Miami","Right-back","$850,000.00","$1,026,875.00"
"Ian","Murphy","Colorado Rapids","Center-back","$400,000.00","$447,500.00"
"Max","Murray","New York City FC","Center-back","$88,025.00","$89,873.00"
"Jacob","Murrell","DC United","Center Forward","$113,400.00","$113,400.00"
"Petar","Musa","FC Dallas","Center Forward","$2,450,000.00","$2,880,000.00"
"Trey","Muse","Portland Timbers","Goalkeeper","$113,400.00","$113,400.00"
"Danny","Musovski","Seattle Sounders FC","Center Forward","$650,000.00","$712,924.00"
"Alex","Muyl","Nashville SC","Right Wing","$655,000.00","$655,000.00"
"Tristan","Muyumba","Atlanta United","Defensive Midfield","$600,000.00","$641,600.00"
"Andy","Nájar","Nashville SC","Right-back","$550,000.00","$603,333.00"
"Matheus","Nascimento de Paula","LA Galaxy","Center Forward","$650,000.00","$707,000.00"
"Miguel","Navarro","Colorado Rapids","Left-back","$498,000.00","$548,781.00"
"Rafael","Navarro Leal","Colorado Rapids","Center Forward","$1,392,000.00","$1,449,600.00"
"Philippe","Ndinga","Philadelphia Union","Left-back","$300,000.00","$332,250.00"
"Jalen","Neal","CF Montreal","Center-back","$675,000.00","$756,250.00"
"Dylan","Nealis","New York Red Bulls","Right-back","$412,500.00","$412,500.00"
"Sean","Nealis","DC United","Center-back","$650,000.00","$723,750.00"
"Jack","Neeley","Charlotte FC","Center-back","$140,000.00","$142,000.00"
"Franco","Negri","Houston Dynamo","Left-back","$113,400.00","$115,605.00"
"John","Nelson","LA Galaxy","Left-back","$350,000.00","$350,000.00"
"Jayden","Nelson","Austin FC","Left Wing","$499,999.92","$554,000.00"
"Enzo","Newman","FC Dallas","Right-back","$88,025.00","$88,025.00"
"J.C.","Ngando","Vancouver Whitecaps","Defensive Midfield","$200,000.00","$200,000.00"
"Serge","Ngoma","New York Red Bulls","Right Wing","$205,000.00","$233,700.00"
"Kenny","Nielsen","LAFC","Center-back","$88,025.00","$88,025.00"
"Joakim","Nilsson","MLS Pool","Center-back","$1,221,175.00","$1,289,675.00"
"Nolan","Norris","FC Dallas","Left-back","$200,000.00","$218,642.00"
"Josh","Nteziryayo","CF Montreal","Defensive Midfield","$88,025.00","$91,120.00"
"Tsiki","Ntsabeleng","FC Dallas","Attacking Midfield","$230,000.00","$257,000.00"
"Obinna","Nwobodo","FC Cincinnati","Defensive Midfield","$1,500,000.00","$1,849,724.00"
"Aiden","O'Neill","New York City FC","Defensive Midfield","$600,000.00","$630,938.00"
"Kevin","O'Toole","New York City FC","Left-back","$300,000.00","$323,333.00"
"Édier","Ocampo","Vancouver Whitecaps","Right-back","$400,000.00","$453,799.00"
"Chituru","Odunze","Charlotte FC","Goalkeeper","$125,000.00","$138,508.00"
"Braian","Ojeda","Orlando City SC","Defensive Midfield","$725,000.00","$910,500.00"
"Martín","Ojeda","Orlando City SC","Attacking Midfield","$1,600,000.00","$1,778,200.00"
"Agustín","Ojeda","New York City FC","Left Wing","$540,000.00","$607,833.00"
"Hamzat","Ojediran","Colorado Rapids","Defensive Midfield","$800,000.00","$881,667.00"
"Victor","Olatunji","Real Salt Lake","Center Forward","$600,000.00","$626,500.00"
"Christian","Olivares","St. Louis City SC","Goalkeeper","$113,400.00","$113,400.00"
"Sal","Olivas","Philadelphia Union","Center Forward","$113,400.00","$137,480.00"
"Cristiano","Oliveira","New England Revolution","Attacking Midfield","$88,025.00","$99,025.00"
"CJ","Olney Jr.","Philadelphia Union","Left Midfield","$113,400.00","$127,065.00"
"Toyosi","Olusanya","Houston Dynamo","Center Forward","$418,000.00","$463,219.00"
"Mahala","Opoku","CF Montreal","Right Wing","$583,333.00","$723,560.00"
"Nathan","Ordaz","LAFC","Center Forward","$500,000.00","$545,000.00"
"Sergio","Oregel","Chicago Fire","Central Midfield","$350,000.00","$392,500.00"
"Jaziel","Orozco","St. Louis City SC","Right-back","$88,025.00","$88,025.00"
"Joao","Ortiz","Portland Timbers","Defensive Midfield","$550,000.00","$600,625.00"
"Jonathan","Osorio","Toronto FC","Central Midfield","$800,000.00","$1,083,333.00"
"Tomas","Ostrák","St. Louis City SC","Attacking Midfield","$700,000.00","$801,000.00"
"Javier","Otero","Orlando City SC","Goalkeeper","$160,000.00","$163,750.00"
"Prince","Owusu","CF Montreal","Center Forward","$1,300,000.00","$1,330,000.00"
"Allan","Oyirwoth","New England Revolution","Attacking Midfield","$125,000.00","$141,000.00"
"Marco","Pašalić","Orlando City SC","Right Wing","$1,600,000.00","$1,650,667.00"
"Woobens","Pacius","Nashville SC","Center Forward","$113,400.00","$113,400.00"
"Devin","Padelford","Minnesota United","Left-back","$160,000.00","$179,500.00"
"Joseph","Paintsil","LA Galaxy","Left Wing","$3,456,000.00","$4,502,000.00"
"Nelson","Palacio","Real Salt Lake","Central Midfield","$430,000.00","$473,167.00"
"Jeisson","Palacios","Nashville SC","Center-back","$700,000.00","$1,097,500.00"
"Sergi","Palencia","LAFC","Right-back","$725,000.00","$745,000.00"
"Jack","Panayotou","New England Revolution","Central Midfield","$140,000.00","$142,000.00"
"James","Pantemis","Portland Timbers","Goalkeeper","$300,000.00","$320,833.00"
"Isaiah","Parente","LA Galaxy","Central Midfield","$113,400.00","$113,400.00"
"Donovan","Parisian","New England Revolution","Goalkeeper","$88,025.00","$88,025.00"
"Tim","Parker","New York Red Bulls","Center-back","$350,000.00","$387,500.00"
"Van","Parker","Real Salt Lake","Right Wing","$88,025.00","$90,192.00"
"Keaton","Parks","New York City FC","Defensive Midfield","$1,000,000.00","$1,130,000.00"
"Tyson","Pearce","St. Louis City SC","Right-back","$130,000.00","$130,000.00"
"Adam","Pearlman","Toronto FC","Center-back","$130,000.00","$143,300.00"
"Amahl","Pellegrino","San Diego FC","Left Wing","$600,000.00","$645,000.00"
"Matti","Peltola","DC United","Defensive Midfield","$800,000.00","$876,000.00"
"Andrés","Perea","New York City FC","Defensive Midfield","$695,000.00","$757,000.00"
"Daniel","Pereira","Austin FC","Central Midfield","$750,000.00","$793,750.00"
"Raul Gustavo","Pereira Bicalho","New York City FC","Center-back","$720,000.00","$812,960.00"
"Matheus","Pereira de Souza","Toronto FC","Left-back","$477,000.00","$650,800.00"
"Joaquín","Pereyra","Minnesota United","Central Midfield","$900,000.00","$1,089,000.00"
"Miguel","Perez","St. Louis City SC","Central Midfield","$113,400.00","$113,400.00"
"Nikola","Petković","Seattle Sounders FC","Central Midfield","$470,000.00","$516,250.00"
"Luca","Petrasso","CF Montreal","Left-back","$119,600.00","$134,736.00"
"Donavan","Phillip","Colorado Rapids","Center Forward","$88,025.00","$88,025.00"
"Hugo","Picard","Columbus Crew","Left Midfield","$725,000.00","$781,244.00"
"Fafà","Picault","Atlanta United","Left Wing","$113,400.00","$142,250.00"
"Neil","Pierre","Philadelphia Union","Center-back","$113,400.00","$129,798.00"
"Nelson","Pierre","Vancouver Whitecaps","Center Forward","$125,000.00","$139,116.00"
"Kevin","Pierre Jr.","New York City FC","Central Midfield","$88,025.00","$90,226.00"
"Samuel","Piette","CF Montreal","Defensive Midfield","$535,250.00","$621,016.00"
"Ian","Pilcher","San Diego FC","Center-back","$88,025.00","$88,025.00"
"Mauricio","Pineda","Chicago Fire","Center-back","$200,000.00","$320,157.00"
"Dániel","Pintér","Inter Miami","Left Wing","$88,025.00","$88,025.00"
"Ariath","Piol","Real Salt Lake","Center Forward","$294,000.00","$348,859.00"
"Santiago","Pita","Atlanta United","Attacking Midfield","$88,025.00","$88,025.00"
"Matt","Polster","New England Revolution","Defensive Midfield","$675,000.00","$733,333.00"
"Dante","Polvara","St. Louis City SC","Defensive Midfield","$400,000.00","$436,806.00"
"Célio Antonio","Pompeu Pinheiro Martins","St. Louis City SC","Left Wing","$272,750.00","$309,006.00"
"Paxton","Pomykal","MLS Pool","Attacking Midfield","$1,200,000.00","$1,308,000.00"
"Ezequiel","Ponce","Houston Dynamo","Center Forward","$2,738,012.00","$3,000,212.00"
"David","Poreba","Chicago Fire","Attacking Midfield","$88,025.00","$98,858.00"
"Ryan","Porteous","LAFC","Center-back","$725,000.00","$760,260.00"
"Alvas","Powell","FC Cincinnati","Right-back","$285,000.00","$325,750.00"
"Owen","Presthus","Columbus Crew","Right-back","$88,025.00","$94,216.00"
"Ralph","Priso","Vancouver Whitecaps","Defensive Midfield","$175,000.00","$189,167.00"
"Andrew","Privett","Charlotte FC","Center-back","$250,000.00","$281,400.00"
"Luke","Pruter","Columbus Crew","Goalkeeper","$113,400.00","$113,400.00"
"Ricard","Puig Martí","LA Galaxy","Central Midfield","$5,125,000.00","$5,792,188.00"
"John","Pulskamp","Sporting Kansas City","Goalkeeper","$400,000.00","$425,375.00"
"Joedrick","Pupe","Vancouver Whitecaps","Center-back","$450,000.00","$490,600.00"
"Ahmed","Qasem","Nashville SC","Right Wing","$650,000.00","$650,000.00"
"Nelson","Quiñónes","MLS Pool","Left Wing","$276,996.00","$297,890.00"
"Philip","Quinton","Real Salt Lake","Center-back","$175,000.00","$175,000.00"
"Daniel","Ríos","CF Montreal","Center Forward","$225,000.00","$237,066.00"
"Rocco","Ríos Novo","Inter Miami","Goalkeeper","$200,000.00","$224,100.00"
"Viktor","Radojević","Chicago Fire","Left-back","$350,000.00","$357,000.00"
"Jeremy","Rafanello","Philadelphia Union","Attacking Midfield","$165,000.00","$186,125.00"
"Jackson","Ragen","Seattle Sounders FC","Center-back","$625,000.00","$635,000.00"
"Brooklyn","Raines","New England Revolution","Central Midfield","$400,000.00","$443,250.00"
"Rohan","Rajagopal","San Jose Earthquakes","Defensive Midfield","$88,025.00","$88,025.00"
"Bryan","Ramírez","FC Cincinnati","Right Wing","$435,000.00","$684,100.00"
"Christian","Ramirez","Austin FC","Center Forward","$525,000.00","$577,500.00"
"Rubén","Ramos","LA Galaxy","Attacking Midfield","$113,400.00","$113,400.00"
"Darius","Randell","Minnesota United","Right Wing","$88,025.00","$98,419.00"
"Greg","Ranjitsingh","New York City FC","Goalkeeper","$113,400.00","$113,400.00"
"Ryan","Raposo","LAFC","Left Midfield","$220,000.00","$220,000.00"
"Tim","Ream","Charlotte FC","Center-back","$1,000,000.00","$1,127,750.00"
"Sergio","Reguilón","Inter Miami","Left-back","$1,700,000.00","$1,800,000.00"
"Jayden","Reid","Sporting Kansas City","Left-back","$113,400.00","$116,655.00"
"Seymour","Reid","New York City FC","Center Forward","$88,025.00","$102,840.00"
"Tahir","Reid-Brown","Orlando City SC","Left-back","$125,000.00","$139,508.00"
"Will","Reilly","Atlanta United","Central Midfield","$88,025.00","$88,025.00"
"Agustin","Resch","Houston Dynamo","Center-back","$88,025.00","$88,025.00"
"Marco","Reus","LA Galaxy","Attacking Midfield","$604,364.00","$902,364.00"
"Andrés","Reyes","San Diego FC","Center-back","$804,000.00","$879,000.00"
"Justin","Reynolds","Sporting Kansas City","Right-back","$123,400.00","$123,400.00"
"Andrew","Rick","Philadelphia Union","Goalkeeper","$113,400.00","$123,315.00"
"Jamar","Ricketts","San Jose Earthquakes","Left-back","$113,400.00","$114,987.00"
"Chris","Rindov","LA Galaxy","Center-back","$113,400.00","$122,150.00"
"Antonio","Riquelme","Real Salt Lake","Attacking Midfield","$88,025.00","$91,740.00"
"Luis","Rivera","Real Salt Lake","Left-back","$160,000.00","$171,100.00"
"Kayne","Rizvanovich","Minnesota United","Goalkeeper","$88,025.00","$90,347.00"
"Reid","Roberts","San Jose Earthquakes","Center-back","$88,025.00","$88,025.00"
"Miles","Robinson","FC Cincinnati","Center-back","$3,500,000.00","$3,950,000.00"
"Diego","Rocío","Real Salt Lake","Right Wing","$88,025.00","$92,668.00"
"Sebastián","Rodríguez","Houston Dynamo","Central Midfield","$88,025.00","$96,675.00"
"Nicolás","Rodríguez","Orlando City SC","Right Wing","$210,000.00","$230,500.00"
"James","Rodríguez","Minnesota United","Attacking Midfield","$684,000.00","$684,000.00"
"Jonathan","Rodríguez","MLS Pool","Center Forward","$2,050,000.00","$2,902,500.00"
"Sam","Rogers","Chicago Fire","Center-back","$200,000.00","$223,000.00"
"Andy","Rojas","New York Red Bulls","Left Wing","$185,000.00","$213,131.00"
"Álex","Roldán","Seattle Sounders FC","Right-back","$625,000.00","$658,050.00"
"Cristian","Roldán","Seattle Sounders FC","Central Midfield","$1,645,000.00","$1,766,000.00"
"Brian","Romero","Charlotte FC","Right Wing","$175,000.00","$185,833.00"
"Nicolás","Romero","Minnesota United","Center-back","$455,000.00","$492,500.00"
"Tomás","Romero","New York City FC","Goalkeeper","$113,400.00","$113,400.00"
"Dave","Romney","San Jose Earthquakes","Center-back","$882,875.00","$962,375.00"
"Connor","Ronan","Colorado Rapids","Central Midfield","$510,000.00","$562,400.00"
"Joseph","Rosales","Austin FC","Left-back","$500,000.00","$529,875.00"
"Tanner","Rosborough","New York Red Bulls","Center Forward","$88,025.00","$105,043.00"
"Keegan","Rosenberry","Colorado Rapids","Right-back","$300,000.00","$300,000.00"
"Diego","Rossi","Columbus Crew","Attacking Midfield","$2,775,000.00","$3,476,827.00"
"Paul","Rothrock","Seattle Sounders FC","Left Wing","$525,000.00","$525,000.00"
"Kye","Rowles","DC United","Center-back","$550,000.00","$751,667.00"
"David","Ruíz","Inter Miami","Defensive Midfield","$200,000.00","$231,887.00"
"Pablo","Ruiz","Real Salt Lake","Central Midfield","$825,000.00","$911,500.00"
"Albert","Rusnák","Seattle Sounders FC","Attacking Midfield","$2,685,000.00","$2,685,000.00"
"Jorge","Ruvalcaba","New York Red Bulls","Left Wing","$720,000.00","$788,528.00"
"Cesar","Ruvalcaba","Columbus Crew","Center-back","$113,400.00","$113,400.00"
"Osvald","Søe","San Diego FC","Center-back","$234,996.00","$234,996.00"
"Ilie","Sánchez","Austin FC","Defensive Midfield","$225,000.00","$225,000.00"
"Cheikh","Sabaly","Vancouver Whitecaps","Left Wing","$1,109,091.00","$1,414,727.00"
"Emmanuel","Sabbi","Vancouver Whitecaps","Right Wing","$1,080,000.00","$1,167,750.00"
"Anisse","Saidi","San Diego FC","Center Forward","$88,025.00","$101,915.00"
"Ryan","Sailor","Seattle Sounders FC","Center-back","$113,400.00","$113,400.00"
"Anton","Salétros","Chicago Fire","Central Midfield","$700,000.00","$750,000.00"
"Enes","Sali","FC Dallas","Left Wing","$350,000.00","$395,000.00"
"Dániel","Sallói","Toronto FC","Left Wing","$1,300,000.00","$1,343,333.00"
"Diadié","Samassékou","Houston Dynamo","Defensive Midfield","$714,996.00","$771,871.00"
"Félix","Samson","CF Montreal","Center-back","$88,025.00","$91,740.00"
"Lucas","Sanabria","LA Galaxy","Defensive Midfield","$640,000.00","$742,800.00"
"Juan Manuel","Sanabria","Real Salt Lake","Left-back","$500,000.00","$500,000.00"
"Cooper","Sanchez","Atlanta United","Central Midfield","$88,025.00","$88,025.00"
"Will","Sands","New England Revolution","Left-back","$325,000.00","$333,333.00"
"James","Sands","New York City FC","Defensive Midfield","$1,250,000.00","$1,318,750.00"
"Rafael","Santos","St. Louis City SC","Left-back","$200,000.00","$226,354.00"
"Sergio","Santos","Atlanta United","Center Forward","$113,400.00","$171,000.00"
"Harvey","Sarajian","Orlando City SC","Left Wing","$88,025.00","$88,025.00"
"Kieran","Sargeant","San Diego FC","Left-back","$113,400.00","$122,180.00"
"Josh","Sargent","Toronto FC","Center Forward","$3,210,000.00","$5,265,667.00"
"Sam","Sarver","FC Dallas","Right Wing","$113,400.00","$113,400.00"
"Kaka","Scabin","FC Dallas","Center-back","$88,025.00","$88,025.00"
"Brian","Schaefer","FC Cincinnati","Center-back","$113,400.00","$120,067.00"
"Ryan","Schewe","Sporting Kansas City","Goalkeeper","$88,025.00","$88,025.00"
"David","Schnegg","Charlotte FC","Left-back","$650,000.00","$756,250.00"
"Sebastian","Schonlau","Vancouver Whitecaps","Center-back","$720,000.00","$776,833.00"
"Patrick","Schulte","Columbus Crew","Goalkeeper","$900,000.00","$1,032,083.00"
"Brian","Schwake","Nashville SC","Goalkeeper","$150,000.00","$166,800.00"
"Brady","Scott","LA Galaxy","Goalkeeper","$113,400.00","$113,400.00"
"Dante","Sealy","Colorado Rapids","Right Wing","$150,000.00","$168,022.00"
"Gabriel","Segal","DC United","Center Forward","$113,400.00","$113,400.00"
"Telasco","Segovia","Inter Miami","Central Midfield","$325,000.00","$360,000.00"
"Eddie","Segura","LAFC","Center-back","$722,500.00","$722,500.00"
"Amar","Sejdić","Columbus Crew","Defensive Midfield","$200,000.00","$214,550.00"
"Brandon","Servania","DC United","Central Midfield","$275,000.00","$303,722.00"
"Japhet","Sery Larsen","Philadelphia Union","Center-back","$600,000.00","$675,300.00"
"Jacob","Shaffelburg","LAFC","Left Wing","$475,000.00","$520,000.00"
"Alexander","Shaw","Inter Miami","Central Midfield","$88,025.00","$88,025.00"
"Jason","Shokalook","Chicago Fire","Center Forward","$88,025.00","$88,025.00"
"Jonathan","Shore","New York City FC","Central Midfield","$113,400.00","$125,900.00"
"Mateo","Silvetti","Inter Miami","Left Wing","$550,000.00","$607,078.00"
"Nicholas","Simmonds","FC Dallas","Center Forward","$88,025.00","$102,704.00"
"Adem","Sipic","Nashville SC","Center Forward","$113,400.00","$142,226.00"
"Jonathan","Sirois","FC Dallas","Goalkeeper","$250,000.00","$267,625.00"
"Pablo","Sisniega","San Diego FC","Goalkeeper","$215,000.04","$241,467.00"
"Jack","Skahan","San Jose Earthquakes","Central Midfield","$225,000.00","$225,000.00"
"Tyger","Smalls","Charlotte FC","Right Wing","$113,400.00","$113,400.00"
"Alec","Smir","Minnesota United","Goalkeeper","$113,400.00","$113,400.00"
"Ian","Smith","Portland Timbers","Left-back","$88,025.00","$88,025.00"
"Kyle","Smith","FC Cincinnati","Right-back","$113,400.00","$118,400.00"
"Artem","Smolyakov","LAFC","Left-back","$550,000.00","$613,297.00"
"Mohammed","Sofo","New York Red Bulls","Left Wing","$150,000.00","$208,000.00"
"Sergi","Solans","Real Salt Lake","Center Forward","$88,025.00","$88,025.00"
"Pedro","Soma","San Diego FC","Defensive Midfield","$275,000.00","$325,453.00"
"Heung-min","Son","LAFC","Left Wing","$10,368,750.00","$11,152,852.00"
"Tiago","Souza de Jesus Carvalho","Orlando City SC","Left Wing","$500,000.00","$600,250.00"
"Wessel","Speel","Minnesota United","Goalkeeper","$113,400.00","$113,400.00"
"Tyrese","Spicer","Orlando City SC","Left Wing","$275,000.00","$311,875.00"
"Stijn","Spierings","Real Salt Lake","Central Midfield","$750,000.00","$783,333.00"
"Kaedren","Spivey","San Jose Earthquakes","Central Midfield","$113,400.00","$116,400.00"
"Dayne","St. Clair","Inter Miami","Goalkeeper","$745,313.00","$808,730.00"
"Mason","Stajduhar","Real Salt Lake","Goalkeeper","$200,000.00","$215,650.00"
"Slade","Starnes","FC Dallas","Center-back","$88,025.00","$93,472.00"
"Lazar","Stefanović","Toronto FC","Center-back","$113,400.00","$125,306.00"
"Zack","Steffen","Colorado Rapids","Goalkeeper","$1,100,000.00","$1,100,000.00"
"Kimani","Stewart-Baynes","Colorado Rapids","Left Wing","$115,000.00","$116,000.00"
"Aidan","Stokes","New York Red Bulls","Goalkeeper","$113,400.00","$130,168.00"
"Noah","Streit","CF Montreal","Right Wing","$400,000.00","$451,333.00"
