Chicago Fire,Dean,Christian,D,$,"90,000.00",$,"93,125.00"
Chicago Fire,Del Grecco,Nicolas,D,$,"90,000.00",$,"91,125.00"
Houston Dynamo,DeLaGarza,AJ,D,$,"200,000.04",$,"207,500.04"
Seattle Sounders FC,Delem,Jordy,M,$,"67,500.00",$,"67,500.00"
DC United,DeLeon,Nick,M,$,"275,000.00",$,"275,000.00"
Toronto FC,Delgado,Marco,M,$,"230,000.00",$,"230,000.00"
Retired,Dempsey,Clint,F,$,"1,100,000.04",$,"1,650,000.04"
"",DePuy,Nick,F,$,"68,254.20",$,"75,754.20"
Houston Dynamo,Deric,Tyler,GK,$,"67,500.00",$,"67,500.00"
Montreal Impact,Diallo,Zakaria,D,$,"299,250.00",$,"343,250.00"
Philadelphia Union,Dias,Ilson,M,$,"300,000.00",$,"327,000.00"
Sporting Kansas City,Dick,Eric,GK,$,"54,500.04",$,"57,949.58"
Sporting Kansas City,Didic,Amer,D,$,"55,654.20",$,"55,654.20"
New England Revolution,Dielna,Claude,D,$,"780,000.00",$,"909,861.00"
LAFC,Diomande,Adama,F,$,"849,999.96",$,"934,999.96"
Montreal Impact,Diop,Clement,GK,$,"90,000.00",$,"97,290.00"
Philadelphia Union,Dockal,Borek,M,$,"1,714,285.68",$,"1,714,285.68"
Vancouver Whitecaps,Dominguez,Roberto,D,$,"54,504.00",$,"61,465.66"
Houston Dynamo,Donovan,Conor,D,$,"54,500.04",$,"54,500.04"
LA Galaxy,dos Santos,Giovani,F,$,"4,250,000.00",$,"6,000,000.00"
LA Galaxy,dos Santos,Jonathan,M,$,"2,000,000.04",$,"2,000,000.04"
New York Red Bulls,Duncan,Kyle,D,$,"54,500.04",$,"54,500.04"
Toronto FC,Dunn,Julian,D,$,"54,500.04",$,"54,500.04"
DC United,Durkin,Chris,D-M,$,"80,000.00",$,"89,166.67"
Montreal Impact,Duvall,Chris,D,$,"150,000.00",$,"150,000.00"
Orlando City SC,Dwyer,Dom,F,$,"1,200,000.00",$,"1,383,333.33"
Colorado Rapids,Dykstra,Andrew,GK,$,"100,008.00",$,"107,658.51"
Portland Timbers,Ebobisse,Jeremy,F,$,"140,000.00",$,"203,000.00"
Chicago Fire,Edwards,Raheem,F,$,"55,654.20",$,"55,654.20"
Orlando City SC,Edwards,Earl,GK,$,"68,250.00",$,"68,250.00"
Houston Dynamo,Elis,Alberth,F,$,"650,340.00",$,"650,340.00"
Philadelphia Union,Elliott,Jack,D,$,"59,629.50",$,"59,629.50"
DC United,Ellis,Kevin,D,$,"150,000.00",$,"158,333.33"
Orlando City SC,El-Mounir,Mohammed,D,$,"174,999.96",$,"192,833.29"
Vancouver Whitecaps,Emnes,Marvin,F,$,"69,996.00",$,"159,829.33"
Philadelphia Union,Epps,Marcus,M,$,"55,654.20",$,"55,654.20"
San Jose Earthquakes,Eriksson,Magnus,F,$,"399,999.96",$,"399,999.96"
Atlanta United,Escobar,Franco,D,$,"250,008.00",$,"250,008.00"
New York Red Bulls,Escobar,Fidel,D,$,"145,000.08",$,"145,000.08"
Sporting Kansas City,Espinoza,Roger,M,$,"900,000.00",$,"900,000.00"
New York Red Bulls,Etienne,Derrick,M,$,"68,500.00",$,"73,500.00"
Sporting Kansas City,Evans,Brad,D-M,$,"200,000.04",$,"200,000.04"
New England Revolution,Fagundez,Diego,M,$,"170,000.00",$,"190,000.00"
Montreal Impact,Fanni,Rod,D,$,"1,200,000.00",$,"1,225,000.00"
Portland Timbers,Farfan,Marco,D,$,"64,500.00",$,"64,500.00"
New England Revolution,Farrell,Andrew,D,$,"182,600.00",$,"267,600.00"
LAFC,Feilhaber,Benny,M,$,"625,000.00",$,"625,000.00"
San Jose Earthquakes,Felipe,Luis,M,$,"67,500.00",$,"68,500.00"
LA Galaxy,Feltscher,Rolf,D,$,"240,000.00",$,"270,000.00"
Sporting Kansas City,Fernandes,Gerso,F-M,$,"550,008.00",$,"591,258.00"
Minnesota United,Fernando,Luiz,M,$,"275,000.04",$,"314,166.71"
FC Dallas,Ferreira,Jesus,F,$,"54,500.00",$,"54,500.00"
FC Dallas,Figueroa,Maynor,D,$,"240,000.00",$,"250,000.00"
Minnesota United,Finlay,Ethan,M,$,"375,000.00",$,"375,000.00"
DC United,Fisher,Oniel,D-M,$,"68,906.25",$,"68,906.25"
Montreal Impact,Fisher,Kyle,D,$,"55,654.20",$,"55,654.20"
Portland Timbers,Flores,Andres,M,$,"67,500.00",$,"67,500.00"
Philadelphia Union,Fontana,Anthony,M,$,"65,004.00",$,"73,421.60"
Sporting Kansas City,Fontas,Andreu,D,$,"999,999.96",$,"999,999.96"
Colorado Rapids,Ford,Kortne,D,$,"82,500.00",$,"89,500.00"
New York Red Bulls,Fouapon,Hassan Ndam,D,$,"54,504.00",$,"54,504.00"
Seattle Sounders FC,Francis,Waylon,D,$,"165,000.00",$,"196,041.67"
